시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202002,12,"51,000",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202002,14,"52,500",9,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202002,25,"48,000",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202002,25,"48,800",3,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202003,4,"52,000",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202003,12,"49,000",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202003,21,"52,900",21,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202003,21,"52,800",24,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202003,28,"51,500",11,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202003,29,"53,000",8,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202004,4,"54,250",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202004,20,"51,000",8,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202005,16,"49,800",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202005,25,"53,500",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202006,5,"53,000",21,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202006,7,"56,300",19,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202006,13,"55,500",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202006,16,"55,000",24,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202006,16,"55,500",19,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202006,18,"50,800",3,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202006,27,"51,500",4,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202006,27,"57,000",9,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202007,4,"74,700",25,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202007,11,"54,800",15,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202007,13,"52,800",16,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202007,14,"56,000",16,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202007,14,"54,500",13,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202007,20,"56,000",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202007,22,"51,000",1,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202008,17,"55,000",14,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202008,24,"55,400",13,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202008,26,"55,000",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202008,27,"54,400",12,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202008,29,"55,900",23,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202009,5,"89,500",25,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202009,20,"57,700",16,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202009,29,"57,500",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202010,8,"60,000",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202010,9,"57,300",18,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202010,10,"59,500",9,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9572,202010,13,"54,000",5,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202010,17,"57,000",6,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202010,19,"59,950",10,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202010,20,"64,400",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202011,8,"62,500",7,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202011,13,"65,000",15,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202011,21,"60,700",20,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202012,12,"68,700",9,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9317,202012,14,"58,500",3,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9823,202012,17,"50,000",17,2014,원도안로 100,
대전광역시 서구 도안동,1373,1373,0,도안 베르디움,84.9331,202012,19,"62,000",10,2014,원도안로 100,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.981,202001,2,"52,500",1,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202001,18,"47,800",23,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202001,20,"44,000",3,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202001,28,"59,500",25,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202002,1,"55,000",11,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202002,12,"60,500",9,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.984,202002,14,"60,500",17,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202002,14,"47,500",17,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202002,15,"42,000",8,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202002,15,"54,800",9,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.981,202002,19,"61,700",29,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202002,19,"57,000",10,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202002,22,"57,800",25,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202002,22,"56,500",25,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.981,202002,28,"62,400",28,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202003,2,"54,000",4,2014,도안동로 77,20200310
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202003,2,"54,000",4,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202003,3,"47,700",27,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202003,4,"47,900",21,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202003,6,"59,200",9,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202003,7,"55,000",4,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202003,7,"46,800",27,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202003,13,"60,000",19,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202003,14,"47,000",9,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202003,14,"60,500",24,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202003,14,"47,000",12,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202003,20,"50,000",19,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202003,21,"46,300",7,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.981,202003,28,"62,800",10,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.984,202004,4,"61,000",18,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202004,8,"44,000",20,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202004,10,"55,500",14,2014,도안동로 77,20200713
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202004,17,"45,500",10,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202004,25,"46,000",30,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.984,202004,30,"53,900",1,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202005,4,"47,000",25,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202005,9,"46,800",24,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202005,9,"62,300",14,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202005,14,"46,900",19,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.9938,202005,16,"58,900",28,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.994,202005,23,"54,700",4,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202005,26,"56,700",26,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.143,202005,26,"46,000",7,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,70.4136,202005,29,"49,900",28,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202005,29,"59,400",31,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.974,202005,29,"61,500",26,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.984,202005,29,"62,700",21,2014,도안동로 77,
대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,78.8929,202005,30,"56,200",12,2014,도안동로 77,
